Conference Paper Id,Paper Id,Filename,Page Start,Page End,Number Of Pages,DOI,Topic Id,Authors,Organisations,Title,Keywords,Abstract,Conference Id
simbuild2004_SB04T1C4,SB04T1C4,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T1C4.pdf,86,88,3,,,"Nicholas, Long","National Renewable Energy Laboratory, Golden, CO ",Near Real-Time Weather Data Archive,,"The National Weather Service (NWS) collects weather information from 4,000 stations around the world. The National Renewable Energy Laboratory (NREL) collectes, parses, and stores this weather data in a local database to give researchers easy access to the data. NREL's parsing program simplies the data format for users. The data are available to anyone via the Internet and e-mail. The purpose of this paper is to describe the availability, operation, and limitations of the available data. Currently, the database only contains temperature, wind, and cloud cover information for the locations. The data are available in Comma Separated Values (CSV) and International Weather for Energy Calculations (IWEC); however, the data may not be continuous.",simbuild2004
simbuild2004_SB04T2A1,SB04T2A1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2A1.pdf,89,94,6,,,"Vaibhav, Potnis","School of Architecture, Arizona State University, Tempe, AZ",Modeling of a Thermal Mannequin in Flovent,,This paper presents results of a study conducted in the methods available to model a thermal mannequin in a commercially available software program. The results from the study give insight into the specific apllication of each modeling technique to simulation.,simbuild2004
simbuild2004_SB04T2A2,SB04T2A2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2A2.pdf,95,102,8,,,"Neeraj, Kapoor","EMO Energy Solutions, LLC, Falls Church, Virginia",Finer Nuances of Modeling Evaporation Using Computational Fluid Dynamics,,"This paper is based on a research that attempted to observe the sensible cooling effect of evaporation of water from a linear waterway by measuring the microclimatic weather data of its proximity. The location in question was Phoenix, Arizona. Evaporation and prevalent site conditions were modeled using computational fluid dynamics (CFD) software, FLOVENT. The model was validated by comparing the predicted data with the measured data. It was found that the model did not successfully capture the sensible cooling effect indicated by the measured air temperature data. It is rare that CFD and experiment would match exactly. However, this paper discusses the building of this type of model and the finer nuances of modeling evaporation for the outdoors using the first principles.",simbuild2004
simbuild2004_SB04T2A3,SB04T2A3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2A3.pdf,103,113,11,,,"Zhiqiang (John), Zhai;  Yang, Gao;  Qingyan (Yan), Chen","Department of Civil, Environmental & Architectural Engineering, University of Colorado, Boulder, CO; Select Energy Services, Inc., Natick, MA; Ray W. Herrick Laboratories, School of Mechanical Engineering, Purdue University, West Lafayette, IN",Pressure Boundary Conditions in Multi-Zone and CFD Program Coupling,,"Multi-zone and CFD airflow models are two important tools for the study of indoor environmental quality. The coupling of these two programs can provide a complementary and thus more accurate prediction of airflow in buildings with an acceptable computing cost. This paper reports the process to couple a multi-zone and a CFD program through pressure boundary conditions at room openings. The study developed a new algorithm to handle pressure boundary conditions in CFD. The algorithm allows the specification of a static or total pressure condition for a particular opening in CFD. It can automatically determine whether the pressure should be treated as total pressure (inflow) or static pressure (outflow) based on whether the airflow enters or leaves the space. To achieve a stable solution during the iterative calculation, special numerical relaxation methods have been used in the implementation of pressure boundary conditions. The validation and application studies show that the pressure boundary treatments and the coupling algorithm are sound.",simbuild2004
simbuild2004_SB04T2B1,SB04T2B1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2B1.pdf,114,118,5,,,"Harvey, Bryan;  Agarwal, Vidhi; Porus Sam, Antia","School of Architecture, Arizona State University, PO Box 871605, Tempe, AZ 85287-1605 ",A Simulation Tool for the Study of Urban Heat Island Mitigation,,"This paper explores the possibilities of mitigating the urban heat island effect by generating climateresponsive urban design guidelines for a hot arid climate. Many of the outdoor urban surfaces such as streets, sidewalks and building elements use low albedo materials that also have high thermal capacity. Field measurements indicate that it is not uncommon to have on a summer day surface Sol-air temperature of 150ºF (65ºC). The aggregation of such high surface temperatures is the prime cause of the urban heat island. Our understanding of this phenomenon has been hampered because the physics of radiant heat exchange are so complex it can only be modeled accurately at the urban scale by computer simulation. The paper illustrates the potential of a simulation program called RadTherm as a design tool to mitigate outdoor surface temperatures. The study models a typical urban streetscape in RadTherm to optimize the interaction between building materials, surface properties, adjacencies (view factors) and resultant surface temperatures. The performance of distinct parts of the urban streetscape are planned to demonstrate the possible application of the program for developing urban design guidelines to mitigate the urban heat island.",simbuild2004
simbuild2004_SB04T2B2,SB04T2B2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2B2.pdf,119,128,10,,,"Sakkara, Rasisuttha;  Jeff, Haberl","Khon Kaen University, Khon Kaen, Thailand; Department of Architecture, Energy Systems Laboratory, Texas A&M University, College Station, Texas ",The Development of Improved Energy Efficient Housing for Thailand Utilizing Renewable Energy Technology,,"The paper reports on the results of research to reduce energy consumption in residential buildings in a hot and humid climate region (Thailand) using efficient architectural building components, energy efficient building systems, and renewable energy systems (solar energy) to produce electricity and heat domestic hot water. The solar energy system used in the analysis of the supplemental energy was a hybrid photovoltaicthermal (PV-T 2) collector system, which is a combination photovoltaic (for producing electricity) and solar thermal collector (for producing hot water), and night-time radiator for radiating unwanted heat to the night sky. The research methods used in this work included instrumentation of a case study house, experimental data collected from an experimental PV-T 2 collector system (Rasisuttha 2004), and calibrated building thermal simulation using DOE-2 (LBNL, 1982; 2000).",simbuild2004
simbuild2004_SB04T2B3,SB04T2B3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2B3.pdf,129,134,6,,,"Shruti, Narayan","Arizona State University, Tempe AZ 85287",Evaluating the Evolution of Garden Office Typology and Determining Its Performance,,"The paper presents documentation on ""Garden Offices"" a building typology found in the metropolitan area of Phoenix and evaluates their performance using CFD simulation software (Flovent). This building typology was identified, documented and evaluated using the capability of Flovent, a CFD program to model outdoor thermal comfort. DOE 2 interface eQUEST was also used to explore the feasibility of this typology while comparing it to a conventional office building. The analysis focuses on qualitative and quantitative aspects of Garden Offices. This would include tracing back their conceptual evolution and typifying the climatic control features for use in any hot arid conditions like Phoenix, Arizona. The quantitative objective would be to do a comprehensive analysis using simulation software (DOE-2, Flovent a CFD program); of their performance and to highlight the relationship between this building typology and the urban microclimate they create within the architectural design. ",simbuild2004
simbuild2004_SB04T2C1,SB04T2C1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2C1.pdf,135,142,8,,,"Sam, Nuernberger;  Andrew, Lau","College of Engineering, The Pennsylvania State University, University Park, PA",Modeling of Ventilation Air Heat Recovery and Its Impact in High-Performance Green Buildings,,"A custom-developed spreadsheet tool was used to analyze the performance of a constant volume HVAC system, with options of ventilation air heat recovery (VAHR), air-side economizer (ASE) system, or a combination of VAHR and ASE, for a typical office space and classroom space, in five different climates in the U.S. For all but one of the cases studied, the results show that VAHR used the most energy on an annual basis.",simbuild2004
simbuild2004_SB04T2C2,SB04T2C2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2C2.pdf,143,150,8,,,"Michael J., Brandemuehl;  Peter, Alspach","University of Colorado, Boulder, CO, USA; Ove Arup Partners, San Francisco, CA, USA ",Simplified Modeling of Transient Distribution System Efficiency for Ducts in Attics,,The objective of this work is to develop simplified methods for characterizing the thermal losses in residential air distribution systems. The methods developed here specifically seek to describe the hourly variations in distribution system performance relative to a seasonal average value as might be obtained under ASHRAE Standard 152. The simplified methods are developed using the detailed simulation tool FSEC 3.0 to generate results for a prototypical residence with ducts in the attic. Results indicate that the hourly variations in distribution efficiency can be simply correlated with outdoor weather conditions.,simbuild2004
simbuild2004_SB04T2C3,SB04T2C3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2C3.pdf,151,159,9,,,"Joe, Huang;  Robin, Mitchell;  Steve, Selkowitz;  Dariush, Arasteh;  Bob, Clear","Lawrence Berkeley National Laboratory, Berkeley CA ",Development of Trade-Off Equations for Energystar Windows,,"The authors explore the feasibility of adding a performance option to DOE's EnergyStar © Windows program whereby windows of differing U-factors and SHGCs can qualify so long as they have equivalent annual energy performance. An iterative simulation procedure is used to calculate trade-off equations giving the change in SHGC needed to compensate for a change in U-factor. Of the four EnergyStar © Window climate zones, trade-off equations are possible only in the Northern and Southern zones. In the North/Central and South/Central zones, equations are not possible either because of large intrazone climate variations or the current SHGC requirements are already near optimum.",simbuild2004
simbuild2004_SB04T2C4,SB04T2C4,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T2C4.pdf,160,171,12,,,"Pyeongchan, Ihm;  Moncef, Krarti","Civil, Environmental, and Architectural, Engineering Department, University of Colorado, Boulder, CO 80309 ",Implementation of Two-Dimensional Foundation Model for Radiant Floors into EnergyPlus,,"In this paper, a two-dimensional transient numerical model for ground coupled heat transfer for radiant floors is developed and integrated into EnergyPlus. The model is first validated against experimental data. As an application of the integration of the model within EnergyPlus, thermal performance of a typical radiant system in a typical residential house is evaluated using both the new two-dimensional model and the existing radiant panel model currently used in EnergyPlus. Moreover, guidelines are presented to illustrate how the model can be used to calibrate the existing model within EnergyPlus.",simbuild2004
simbuild2004_SB04T3A1,SB04T3A1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3A1.pdf,172,179,8,,,"Richard J., Liesen;  Rahul J., Chillar","University of Illinois at Urbana Champaign, Dept of Mechanical & Industrial Engineering, 1206 W.Green St, Urbana, IL 61801. USA",Variable Heat Recovery in Double Bundle Electric Chillers,,"In programs such as BLAST and DOE-2, the Double Bundle Electric Chiller model uses fixed input values for determining the recoverable heat component. The drawback of this approach is no dependence on system demands, plant, and cooling tower loads. Determining the availability or gradation (quality of heat) of the recoverable heat, is a subjective user input, and independent of the flow rates and temperatures. In a program like EnergyPlus, the plant and heat recovery equipment is now connected with loops having mass flow rates and temperatures, allowing for a more sophisticated simulation. Execution speed still restricts the chiller simulation to empirical models that give the total condenser heat as an output for the cooling tower and heat recovery loops. A new algorithm that bases the recoverable heat fraction on the flow rates and inlet temperatures has been developed. This algorithm uses relatively simple inputs to determine the fraction of the heat recovered and the heat rejected by the cooling tower. The variations in the mass flow rates and temperatures in the simulation are now used to obtain more realistic heat transfer rates of each component. This paper presents an analysis of the new algorithm for determining the heat recovery factor, and presents examples showing its performance and advantages of this model over the simple model. The electric chiller in EnergyPlus now has the option of having its condenser hooked up to a heat recovery loop, or what is commonly known as a double bundled chiller.",simbuild2004
simbuild2004_SB04T3A2,SB04T3A2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3A2.pdf,180,188,9,,,"Tracy, Phillips;  Donald J., Frey;  V. Robert, Salcido","Architectural Energy Corporation, Boulder, Colorado",Analysis of Air-Conditioning Options for Fourteen Existing Schools in Colorado,,"This paper describes the process used to simulate the performance, energy, and economic impact of four different AC system types selected for investiagtion at fourteen schools in a Colorado School District using the DOE-2 building energy simulation. The AC systems investigated included direct expansion, chilled water, indirect evaporative, and geoexchange systems. The project encountered many interesting challenges, including assessment of potential energy conservation measures that would affect the cooling load, accurately modeling the geoexchange systems, assessment of the impact that the increased energy use would have on electricity billing rates, and other miscellaneous modeling challenges. All of these challenges were overcome in one form or another, and the results presented interesting insight into the comparative performance of these four system types at different schools, regarding initial installation costs, annual energy costs, and life-cycle costs. These simulation results will be used to make highly informed decisions about cost-effective energy conservation and AC system options in these schools, and help the Distrcit decide what to finance from their operations budget, how much money to ask for from a bond issue, and what to include as part of a performance contract.",simbuild2004
simbuild2004_SB04T3A3,SB04T3A3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3A3.pdf,189,195,7,,,"Rahul J., Chillar;  Richard J., Liesen","University of Illinois at Urbana Champaign, Dept of Mechanical & Industrial Engineering, 1206 W.Green St, Urbana, IL 61801. USA",Improvement of the ASHRAE Secondary HVAC Toolkit Simple Cooling Coil Model for Simulation,,"The simple cooling coil ""CCSIM"" model of the ASHRAE Secondary HVAC Toolkit approximates the performance of cooling coil as either completely dry or completely wet with wet dry fraction value of 1 or 0. This model also generates an abrupt discontinuity in all output values, such as leaving air temperature, total heat transfer, sensible heat transfer etc., in the wet-dry transition region. This model will fail to work for simulations in the transition range between wet and dry coil sections where a continuous function in output values is necessary. This paper shows how to maintain the simpler input parameters and still have enough information to use the Wet-Dry coil model to eliminate the abrupt discontinuity in the output values in the transition region. This is achieved by addition and amalgamation of certain formulas and modules present in the detailed cooling coil model ""CCDET"", with the simple cooling coil model. The simplicity of the model in terms of inputs is retained; the discontinuities are eliminated and it also gives value of fraction wet-dry of the simple coil. ",simbuild2004
simbuild2004_SB04T3B1,SB04T3B1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3B1.pdf,196,202,7,,,"Smita, Gupta;  Ardeshir, Mahdavi","School of Architecture, Carnegie Mellon University, Pittsburgh, PA; Department of Building Physics, Vienna University of Technology, Austria",Exploring Performance Query Space,,"This paper proposes a perspective to view and structure the performance queries in terms of a multidimensional query space. The classification of the queries is likely to render them more suitable for analysis, resulting in enhanced responses through selection and execution of appropriate computation tools and techniques. Performance queries can be broadly classified into three types; namely a) those involving the determination of the values of specific performance indicators (e.g. energy use and thermal comfort); b) those addressing cost implications of alternative design options; c) those pertaining to compliance with (local, national, or international) codes and standards. The paper demonstrates the way in which a performance query space can serve as the entry point for a network-based multidisciplinary performance-based design evaluation environment.",simbuild2004
simbuild2004_SB04T3B2,SB04T3B2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3B2.pdf,203,217,15,,,"Peter, Simmonds;  Bungane, Mehlomakulu","IBE Consulting Engineers, Sherman Oaks, CA ",The Practical Application of Building Simulation Tools in Designing a Real Building,,"A Building Energy simulation tool and a Thermal Comfort simulation tool were used to design, select and specify various components and combinations of components for a 1.3 million square foot building in Los Angeles. The Thermal Comfort simulation tool was used to optimize the design of the conditioning system for the building occupants. In addition, various alternatives were analysed, and different operating and redundancy scenarios were investigated. The parameters from the optimized comfort design were then integrated into the operating schedules of the building simulation tool. The building simulation tool was used to define the operating energy consumption of the building as well as refine operating strategies for a fully and partially occupied building. One of the major concerns of the client was the design of the chiller plant, specifically: the number of chillers, the number of chillers operating at one time, chiller plant redundancy and the possible requirement of a dedicated night time or weekend chiller. This paper will explain the criteria for designing and operating comfortable work spaces and how these optimized designs are integrated into the simulation to assess building loads, lower energy consumption and enhance overall building performance.",simbuild2004
simbuild2004_SB04T3B3,SB04T3B3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3B3.pdf,218,228,11,,,"Sopa, Visitsak;  Jeff S., Haberl","Department of Architecture, Energy Systems Laboratory
Texas A&M University, College Station, TX ",An Analysis of Design Strategies for Climate-Controlled Residences in Selected Climates,,"This paper presents preliminary results of efforts to test the boundaries of the Givoni-Milne (G-M, 1979) bioclimatic design strategy chart, using DOE-2 simulations of a code-complaint single-story, slab-ongrade, single-family residence in selected climates. The analysis includes graphical and tabular presentations of the annual hourly simulations superimposed upon the G-M bioclimatic chart using weather data from selected climates.",simbuild2004
simbuild2004_SB04T3C1,SB04T3C1,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3C1.pdf,229,235,7,,,"V., Bazjanac;  T., Maile","Lawrence Berkeley National Laboratory (LBNL), University of California, Berkeley, CA, USA; Institut für Kernenergetik und Energiesysteme (IKE), University of Stuttgart, Germany",IFC HVAC Interface to EnergyPlus - A Case of Expanded Interoperability for Energy Simulation,,"Tedious manual input of data that define a building, its systems and its expected pattern of use and operating schedules for building energy performance simulation has in the past diverted time and resources from productive simulation runs. In addition to its previously released IFCtoIDF utility that semiautomates the import of building geometry, the new IFC HVAC interface to EnergyPlus (released at the end of 2003) makes it possible to import and export most of the data that define HVAC equipment and systems in a building directly from and to other IFC compatible software tools. This reduces the manual input of other data needed for successful simulation with EnergyPlus to a minimum. The main purpose of this new interface is to enable import of HVAC equipment and systems definitions, generated by other IFC compatible software tools (such as HVAC systems design tools) and data bases, into EnergyPlus, and to write such definitions contained in EnergyPlus input files to the original IFC files from which building geometry was extracted for the particular EnergyPlus input. In addition, this interface sets an example for developers of other software tools how to import and/or export data other than building geometry from and/or into EnergyPlus. This paper describes the necessary simplifications and shortcuts incorporated in this interface, its operating environment, interface architecture, and the basic conditions and methodology for its use with EnergyPlus.",simbuild2004
simbuild2004_SB04T3C2,SB04T3C2,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3C2.pdf,236,243,8,,,"Elmer, Morrissey;  James, O'Donnell;  Marcus, Keane;  Vladimir, Bazjanac","IRUSE, National University Of Ireland, Cork, Ireland; Lawrence Berkeley National Laboratory (LBNL), Berkeley, CA, USA ",Specification and Implementation of IFC Based Performance Metrics to Support Building Life Cycle Assessment of Hybrid Energy Systems,,"Minimising building life cycle energy consumption is becoming of paramount importance. Performance metrics tracking offers a clear and concise manner of relating design intent in a quantitative form. A methodology is discussed for storage and utilisation of these performance metrics through an Industry Foundation Classes (IFC) instantiated Building Information Model (BIM). The paper focuses on storage of three sets of performance data from three distinct sources. An example of a performance metrics programming hierarchy is displayed for a heat pump and a solar array. Utilising the sets of performance data, two discrete performance effectiveness ratios may be computed, thus offering an accurate method of quantitatively assessing building performance.",simbuild2004
simbuild2004_SB04T3C3,SB04T3C3,https://publications.ibpsa.org/proceedings/simbuild/2004/papers/simbuild2004_SB04T3C3.pdf,244,254,11,,,"Yong Hoon, Sung;  Jeff, Haberl","Department of Architecture, Energy Systems Laboratory, Texas A&M University, College Station, Texas ",Comprehensive Community NOx Emission Reduction Methodology: Overview and Results from the Application to a Case Study Community,,"This paper reports on the development of a methodology to estimate energy use in a community and its associated effects on air pollution. This methodology would allow decisionmakers to predict the impacts of various energy conservation options and efficiency programs on air pollution reduction, which will help local government and their residents understand how to reduce pollution and manage the information collection needed to accomplish this. This paper presents a broad overview of a community-wide energy use and NOx emissions inventory process and discusses detailed procedures used to calculate the residential sector's energy use and its associated NOx emissions. In an effort to better understand community-wide energy use and its associated NOx emissions, the City of College Station, Texas, was selected as a case study community to demonstrate the application of this methodology.",simbuild2004
