conference_paper_id,paper_id,filename,page_start,page_end,number_of_pages,DOI,topic_id,authors,organisations,,title,keywords,abstract,conference_id
,1284,,,,,,,"Passe, Ulrike; Sharifi, Kimia","Iowa State University, United States of America",,Development of Residential Archetypes to Predict Indoor Temperatures of Vulnerable Homes,"Indoor overheating prediction, building thermal modeling, urban scale, archetypes","This study develops residential building archetypes that represent houses with similar thermal features. These archetypes were developed to be utilized in an online application that predicts indoor temperature and alerts residents in vulnerable neighborhoods. The archetype development was a result of clustering the houses based on features such as long-side orientation, tree coverage, and temperature profile. Producing archetypes simplified the process of selecting suitable house models for each participant in the overall study. The selected archetypes had similar physical features such as building orientation, window-to-wall ratio, and number of stories above the ground. Finally, twelve archetypes were selected to be available for selection in the application to represent participants’ homes.",simbuild2026
,1285,,,,,,,"Chu, Yingnan (1); Samuelson, Holly (2); Song, Yehao (3)","1: Harvard University, United States of America; 2: Massachusetts Institute of Technology, United States of America; 3: Tsinghua University, China",,A Physiologically-Informed Visual Field Method for Assessing Space View Quality,"Visual Perception Simulation, Cortical Magnification, Window View Quality, Physiologically-informed Modeling","This study proposes a simulation framework that integrates geometric and physiological models to assess the neuro-visual impact of building window components and configurations on the view access potential from indoor spaces. By employing graded visual field analysis and visual cortex projection analysis, the framework quantitatively evaluates how façade details—such as window-to-wall ratio, window size, depth, and frame layout—affect physiologically-weighted view access. The results indicate that window configurations, particularly obstructions in the central visual field, strongly affect weighted visibility.",simbuild2026
,1286,,,,,,,"Uddin, Meftah; Khanna, Sanjeev","University of Missouri-Columbia, United States of America",,Phase Change Material Integration in Building Energy Simulation Using OpenStudio Measures and Python Library,"Building Energy Modeling, OpenStudio Measure, Phase Change Material, Python Library","This study presents an automated workflow for evaluating Phase Change Materials (PCM) in building envelopes across diverse climates and building typologies. Two tools were developed: an OpenStudio Measure and a Python library for automated EnergyPlus input data file (IDF) modification. These tools enable efficient PCM definition, envelope integration, and large-scale simulation management. Small Office prototype models were tested with two different PCMs across all 16 climate zones (CZ). Results indicate negligible cooling benefits but heating energy savings of 9–17% and heating demand was reduced by 11–17% in colder climates (CZ-6A to CZ-8). The toolkits facilitate systematic PCM analysis and support climate-specific application strategies.",simbuild2026
,1290,,,,,,,"Wang, Yiqing (1); Zhu, Lujia (2); Ang, Yu Qian (2)","1: Massachusetts Institute of Technology, United States of America; 2: National University of Singapore, Singapore",,"Experience in Motion: Scalable, Sequential Urban Microclimates Simulations for Visual and Thermal Comfort","Dynamic Thermal Comfort, Microclimate, Visual Perception, Human-Centric Simulation. 3D Model-based Metrics","Conventional micro-environment studies often rely on static simulations in segmented areas, overlooking the sequential (transitional) and embodied nature of human experience during urban walks. Large-scale urban simulations, constrained by computational cost, typically sacrifice spatial resolution, while sensor- or survey-based field studies, although offering high fidelity, remain difficult to scale due to the time-intensive nature of participant experiments and data collection. As a result, early-stage urban design decisions—despite their long-term influence on pedestrian comfort—are still informed by largely static and location-based microclimate analyses, limiting their ability to capture the experiential continuity of walking.

This paper introduces a scalable “climate walk” computational framework that discretizes urban routes into micro-environmental segments, performing localized microclimate simulations and subjective comfort predictions at each step. By integrating walk scenarios, the method links sequential urban microclimate and outdoor thermal comfort parameters with perceived visual comfort, enabling site-specific and comparative analyses to inform early-stage urban design and comfort evaluation in complex environments.",simbuild2026
,1291,,,,,,,"Zhang, Jingshi; Azari, Rahman; Poerschke, Ute","The Pennsylvania State University, USA",,Solar-Hydrogen Building Skins: Validating Simulations through Experimentation,"Photovoltaics, hydrogen energy storage, simulation, validation","This study builds upon previous research that proposed a multifunctional building cladding-panel integrating photovoltaic cells and a proton exchange membrane electrolyzer to simultaneously harvest solar energy and convert surplus electricity to hydrogen. While prior work has shown good correlation between simulation and experimental results of a PV-hydrogen system, few studies have focused on systems installed on vertical building facades. Since the electrolyzer, as the energy conversion element, is assumed to be installed alongside the PV panels on the façade, it is particularly sensitive to environmental conditions. Therefore, an experimental setup that accounts for variations in ambient climate is preferred to better reflect real-world energy conversion performance. A MATLAB/Simulink simulation model had been developed to evaluate the system's performance in a built environment. An experimental setup was constructed to validate the simulation and gain deeper insights. Results indicate strong alignment between simulation and experiment under high irradiance conditions (>400 W/m²). However, under low irradiance and frequent cloud fluctuations, notable discrepancies were observed.",simbuild2026
,1292,,,,,,,"Li, Jiewei; Hoffman, Elaine","Goody Clancy, Boston, MA, United States of America",,From Data to Dialogue: A Visual Framework for Interpreting fTMY Future Weather Data in Climate-Responsive Design,"future weather data, fTMY, visualization framework, climate-responsive design, localized storytelling","With the increasing impacts of climate change, relying solely on historical weather data such as TMY3 is no longer sufficient for designing buildings that remain resilient in the future. The Future Typical Meteorological Year (fTMY) dataset released by the Oak Ridge National Laboratory provides standardized future weather data across multiple RCP scenarios and time periods, removing a key technical barrier. However, practical challenges remain in applying this data within architectural workflows.

This study proposes a replicable climate assessment framework that integrates fTMY datasets into early-stage design through three modules: (1) Hot Days, visualizing extreme heat trends; (2) Cooling and Heating Demand, identifying degree-day shifts and climate zone changes; and (3) Outdoor Comfort, simplifying UTCI-based comfort evaluation.

The framework enables comparative visualization of multiple EPW files, offering accessible insights for designers and clients. It supports clearer communication, cross-disciplinary understanding, and proactive decision-making, advancing climate-responsive design.

",simbuild2026
,1293,,,,,,,"Ying, Albert; Arsano, Alpha","Belmont High School, United States of America",,Evaluating the Impact of Indoor Hydroponic Systems on Students’ Well-being in High School Classrooms,"hydroponics, biophilic design, student well-being, indoor environment","Indoor environmental quality has a profound impact on human comfort, well-being, and cognitive performance—particularly in learning environments where students spend much of their time. As educators and designers explore ways to create healthier and more engaging classrooms, indoor plant systems have gained attention for their ability to improve air quality, moderate humidity and temperature, and enhance occupants’ psychological well-being. Among these systems, hydroponics, a soil-less plant cultivation method using nutrient-rich water, has emerged as a scalable solution. Beyond its agricultural value, indoor hydroponics enhance indoor environments by improving air quality, moderating humidity and temperature, and promoting occupants’ well-being.

This study examines how indoor hydroponic systems influence student perceptions of environmental quality and well-being in high school classrooms. Surveys from classes with and without hydroponics (n = 143, n = 111) showed significant improvements in student perceptions of environmental quality, such as in air quality and visual comfort. Results suggest that hydroponics can promote biophilic, engaging learning environments. Limitations include reliance on self-reports and a single-site design. Future research should incorporate objective environmental measures and multi-classroom comparisons.

",simbuild2026
,1294,,,,,,,"Lee, Woohyoung (1); Faulkner, Cary (2); Zuo, Wangda (1,3)","1: Pennsylvania State University, University Park, PA, USA; 2: Pacific Northwest National Laboratory, Richiland, WA, USA; 3: National Renewable Energy Laboratory, Golden, CO, USA",,An Impulse-based Fluid Dynamics for Fast Indoor Airflow Simulation,"CFD, impulse method, impulse-based fluid dynamics (IFD), fast simulation","The accurate prediction of indoor airflow is essential for effective indoor environment control. Computational fluid dynamics (CFD) has long been a valuable tool for such analyses; however, its high computational cost continues to limit practical applications. Several approaches, such as fast fluid dynamics (FFD) and simplified turbulence models, have been proposed to improve computational efficiencies. Nevertheless, these methods rely on simplified or approximated formulations, which often increase numerical diffusion and consequently reduce accuracy. Recently, machine learning-based surrogate models have been introduced to accelerate CFD predictions, yet the still require substantial computational costs for generating large training datasets. To address these challenges, this study proposes impulse-based fluid dynamics (IFD), which is implemented in OpenFOAM for the first time. The proposed IFD reformulates the incompressible Navier-Stokes equations using an impulse transformation developed in the computre graphics field. For quantitative evaluation in indoor environments, two representative indoor airflow cases were selected and compared with conventional CFD and FFD solvers. The results demonstrate that IFD achieves faster computational speed and higher predictive accuracy than existing methods, while maintaining robustness even with reduced mesh resolution. Therefore, this study highlights the potential of the IFD framework as a computationally efficient alternative to high-cost CFD simulations for indoor airflow analysis.",simbuild2026
,1295,,,,,,,"Kruis, Neal; Oliver, Nathan","Big Ladder Software, United States of America",,More Than a Label: Modeling Modern Heat Pump Performance Beyond Seasonal Efficiency Ratings,"HVAC performance, Heat Pump, AHRI, Direct Expansion","In the United States, all residential scale unitary heat pumps must be rated according to AHRI (Air-Conditioning, Heating, & Refrigeration Institute) standards to provide rated full-load heating and cooling capacities at a total of three outdoor temperatures, a Heating Seasonal Performance Factor (HSPF), a Seasonal Energy Efficiency Ratio (SEER) for cooling, and a full-load cooling Energy Efficiency Ratio (EER) at a single outdoor temperature. This is the only performance data that is independently verified. However, building performance simulation models require heat pump capacity and efficiency performance characteristics at any combination of compressor speed, outdoor air conditions, and indoor air conditions. This paper describes a unified modeling approach for single-speed, two-speed, and variable-speed heat pump technologies that are rated under the AHRI standard. A major focus of the work is the data analysis of the voluntary performance data provided by manufacturers to the Northeast Energy Efficiency Partnerships (NEEP) Cold Climate Air Source Heat Pump List for over 130,000 variable capacity heat pump products. This analysis informs assumptions for the modeled performance of variable-speed units when just the verified AHRI ratings are available. For single- and two-speed heat pump systems, a congruent approach was developed based on previous analysis of a sample of manufacturer-provided expanded performance data.",simbuild2026
,1296,,,,,,,"Davari, Malihe (1); Fitó, Jaume (2); Ramousse, Julien (2); Hinkelman, Kathryn (1)","1: University of Vermont, Burlington, VT, USA; 2: Université Savoie Mont Blanc, Chambéry, France",,Towards Open-Source Simulation Models for Flexible and Self-Sufficient Energy Hubs,"community scale modeling, dynamic simulation, energy hub, multi-energy systems, Modelica, optimization, open-source","Enabling local and renewable energy systems and maintaining stable energy services are key to a sustainable energy future. Energy hubs (EHs) that convert and store/release multiple energy types provide flexible resource-sharing opportunities for groups of buildings in urban and rural areas, such as neighborhoods, towns, and campuses. However, state-of-the-art EH design requires nonlinear and dynamic models to accurately account for electrical and thermofluid dynamics in these highly coupled systems. This paper introduces the open-source EnergyHub package in Modelica for designing renewable EHs that serve space heating/cooling, domestic hot water, and electrical demands for buildings. The developed models are first presented and then illustrated in a case study with a grid-tied multi-energy district in France, where we evaluate key performance metrics (i.e., self-sufficiency ratio) considering both electrical and thermofluid energies. Results indicate the importance of using onsite resources and reveal a Pareto optimum for self-sufficiency and life cycle cost. Providing high-level templatized models for emerging EH applications, this work improves accessibility} and design practices for innovative EHs of the future.

",simbuild2026
,1298,,,,,,,"Excell, Lauren (1,2); Ham, Sang woo (1); Kim, Donghun (1)","1: Lawrence Berkeley National Lab, United States of America; 2: TRC Companies, United States of America",,Simulation Tool For The Configuration And Control Design Of Central Plant Heat Recovery Heat Pump Retrofits,"Heat recovery heat pump, retrofit design, central plant, Modelica toolkit","Heat recovery heat pumps, also known as heat recovery chillers, offer a promising approach to improving central plant efficiency by leveraging waste heat, but their operation requires careful control to optimize efficiency. The heat recovery heat pump system retrofitted to a plant to provide the main source heating hot water, often by leveraging a cooling load on the chilled water loop as a heat source. This requires integration with existing equipment systems and prioritization of equipment stages based on efficiency or other management goals. This unique characteristic presents an interesting equipment control problem, as concurrent, balanced loads are needed for stable equipment operation.

This paper presents an open-source Modelica toolkit for designing and analyzing plant equipment and their control sequences for various heat recovery chiller configurations in a central plant. The toolkit allows users to evaluate and compare control schema for their specific plant configurations and building loads.

A case study of a large commercial building in South San Francisco, California USA is used to co-develop and test the Modelica toolkit. Preliminary results are shared in this conference paper to demonstrate the capabilities of the toolkit. The project engineers determined that additional heat sources and sinks were necessary to balance the building loads to allow the heat pump to operate during more heating hours. This leads to more complicated controls sequences for the equipment, which can be tested in the Modelica toolkit before being implemented. This allows engineers to determine which sequences are best suited to achieve their project goals. ",simbuild2026
,1300,,,,,,,"Hampo, Chima (1); Schinasi, Leah H. (2); Hoque, Simi (1)","1: Department of Civil, Architectural, and Environmental Engineering, Drexel University, USA; 2: Department of Environmental and Occupational Health, Drexel University Dornsife School of Public Health, Philadelphia, USA",,Overheating in Residential Buildings in the United States,Residential buildings; Climate zones; Air conditioning usage; Extreme heat events; Building energy simulation,"As global temperatures continue to rise, understanding the disconnect between indoor and outdoor thermal conditions has become increasingly important for public health research. Most epidemiological studies linking heat exposure to mortality or morbidity rely on outdoor temperature metrics, which may inadequately represent the indoor environments where people spend most of their time. This study presents a physics-based simulation framework for estimating indoor exposure to dry-bulb temperature, wet-bulb temperature, and absolute humidity. Using Department of Energy (DoE) and National Renewable Energy Laboratory (NREL) residential building prototypes, we modeled summertime indoor thermal conditions across multiple U.S. climate zones. The simulations incorporate diverse factors, including outdoor temperature and humidity variations, extreme heat episodes, and building characteristics such as insulation, roof type, and surface area, as well as varying air-conditioning (AC) operation levels (100%, 50%, and 0%). Preliminary results from hot-humid, hot-dry, and mixed-humid climates reveal that while indoor and outdoor temperature trends are correlated, indoor values remain distinct due to the moderating effects of building envelopes and HVAC operation. Although mechanical cooling and ventilation mitigate indoor heat exposure, their effectiveness diminishes during extreme heat events. Both outdoor weather patterns and AC usage play critical roles in shaping indoor thermal conditions, with peak indoor heat and humidity occurring during July heatwaves. The proposed modeling approach provides a scalable pathway for integrating indoor environmental metrics into population-level epidemiological analyses, thereby improving the precision of heat-related health risk assessments across diverse geographic and climatic contexts.",simbuild2026
,1302,,,,,,,"Konis, Kyle","University of Southern California, United States of America",,"Validating the Electric Dream: Comparison of Modeled and Measured Performance of a High-Efficiency, All-Electric Residential Retrofit in Los Angeles, California","High-efficiency all-electric residential retrofit, building electrification, circuit-level sub-metering, energy code compliance modeling, verification and validation","This paper compares modeled and measured performance of a high-efficiency all-electric retrofit and addition to a single-family house in Los Angeles, California. Electricity consumption was measured over one year at the circuit level to compare performance for measures of annual consumption, load profile (with emphasis on summer peak demand and base load) and individual end uses. Measured performance was 25% lower on an annual basis and 28% lower during peak demand compared to the design result from energy code compliance software. Measured base load was found to be 58% lower. Analysis of individual energy end use categories identified significant positive and negative discrepancies in modeled/measured energy and provides insight into driving factors. Lessons learned are discussed to both improve knowledge of real-world performance of electrification retrofit efforts as well as to inform future compliance-based and performance-based modeling practices and assumptions.",simbuild2026
,1304,,,,,,,"Ham, Sang woo; Kim, Donghun","Lawrence Berkeley National Laboratory, United States of America",,System Identification for a Building Thermal Model from Observational Data in the Presence of Unmeasured Disturbances,"System identification, Model predictive control, Unmeasured disturbance, Gray-box model","Gray-box thermal network models are essential for building energy prediction and model predictive control, but traditional system identification (SYSID) methods often struggle with unmeasured disturbances such as occupancy, lighting, and infiltration, particularly in small and medium commercial buildings. Existing approaches that incorporate these disturbances as lumped terms or black-box functions can improve identification but often require high-quality data, risk overfitting, and compromise the physical interpretability of gray-box models. To address these limitations, we propose a periodic disturbance (PD) approach that leverages the weekly periodic patterns exhibited by many internal gains in buildings. Rather than minimizing total innovation error, our method models unmeasured disturbances as periodic functions with a weekly cycle, subtracts the periodic mean of innovations, and minimizes the residuals. This enables SYSID to focus on reducing random noise and measurement errors rather than fitting periodic components with the physical model. We validated the PD approach using a calibrated building model derived from FLEXLAB data augmented with stochastic unmeasured disturbances. The PD method achieved consistently superior performance across diverse test scenarios (RMSE: 0.3-2.6C) compared to conventional (CONV), ID, and OD methods (RMSE: 2.2-9.1C), while it still shows slight discrepancies during the heating season. Future work will focus on experimental validation with actual buildings, hybrid modeling strategies to improve future predictions, and multi-zone extensions for buildings with diverse occupancy schedules.

",simbuild2026
,1305,,,,,,,"Zhou, Huiwen; Zhang, Liang","University of Arizona, United States of America",,Eppy-LLM: An Agentic Workflow for Language-Driven Building Energy Modeling And Optimization Using EnergyPlus,"Building Energy Modeling, Large Language Models (LLMs), Model Context Protocol (MCP), Simulation-based Optimization, LLM Agentic Workflow","This study introduces Eppy-LLM, a lightweight multi-agent framework that integrates large language models (LLMs) with EnergyPlus to support interpretable, reproducible, and adaptive analysis based on building energy modeling. The system translates natural-language design objectives into deterministic simulation workflows through a structured sequence of three agents: a semantic interpreter, a rule-based orchestrator, and an analytical feedback module. Validated using NREL’s iUnit building model, the framework achieved 100% syntax-valid simulations and demonstrated adaptive parameter selection across diverse goals, including cooling load reduction, daylight optimization, and total energy minimization. These results underscore the feasibility of bridging natural-language reasoning with physics-based simulation, paving the way for human-centered and explainable design automation.",simbuild2026
,1307,,,,,,,"Sweeney, Michael (1); Meyer, Ryan (2); Goel, Supriya (1)","1: Pacific Northwest National Laboratory, United States of America; 2: 2050 Partners",,Eplusout Model Context Protocol (MCP): Large Language Model (LLM)-Enabled Simulation Results,"AI, ENERGYPLUS, MCP, PYTHON, BUILDING ENERGY MODELING","EnergyPlus simulations produce diverse outputs across CSV, HTML, text logs, and SQLite databases, making cross-format analysis challenging and time-consuming for practitioners. Large language models (LLMs), when paired with structured tool interfaces, offer a new way to streamline this process. This paper introduces EPlusOut-MCP, a Model Context Protocol (MCP) server that enables natural language queries across EnergyPlus outputs. By exposing structured access to simulation results and documentation, the system supports tasks such as time-series extraction, sizing validation, and quality control. Case studies demonstrate how EPlusOut-MCP improves transparency, accelerates QA/QC workflows, and lowers barriers to advanced analysis for both researchers and practitioners.",simbuild2026
